lane,role,probe,verdict,latency_ms,vram_gb,attempts,note
ollama:phi4-mini-reasoning:latest,agentic,agentic,abstained,33376,5.7,1,"no tool call, no value: ""<think>\n\nOkay, let's see. The user wants me to create a work"""
ollama:phi4-mini:latest,agentic,agentic,abstained,4151,5.0,1,"no tool call, no value: ""I'm sorry, but I can't execute the tool or simulate its outp"""
ollama:qwen3:4b,agentic,agentic,abstained,30735,5.3,1,no answer within 2048 tokens (thinking)
ollama:kram-init:phi4mini,agentic,agentic,fabricated,3233,3.2,1,"invented an id without calling the tool: '```json\n{""id"":12345}\n```' (reclassified at finalize)"
ollama:qwen3:0.6b,agentic,agentic,fabricated,3036,2.7,1,"invented an id without calling the tool: '{""id"": ""1234567890""}' (reclassified at finalize)"
ollama:functiongemma:270m,agentic,agentic,real,9959,0.4,1,tool called; reported WI-76BF1F33
ollama:gemma4:12b,agentic,agentic,real,13668,7.9,1,tool called; reported WI-5D0A76AD
ollama:gemma4:e2b,agentic,agentic,real,9160,1.9,1,tool called; reported WI-86033ABB
ollama:gemma4:e4b,agentic,agentic,real,11281,3.3,1,tool called; reported WI-915171FA
ollama:gemma4:latest,agentic,agentic,real,11883,3.3,1,tool called; reported WI-3885E1BB
ollama:granite-kram-eval:latest,agentic,agentic,real,6011,8.2,1,tool called; reported WI-43B67407
ollama:granite3.3:8b,agentic,agentic,real,5079,8.0,1,tool called; reported WI-034D9995
ollama:granite4.1:3b,agentic,agentic,real,3555,3.7,1,tool called; reported WI-7BB931DA
ollama:granite4.1:8b,agentic,agentic,real,5106,8.2,1,tool called; reported WI-B5F4FC66
ollama:granite4.2:3b,agentic,agentic,real,5775,3.7,1,tool called; reported WI-D523E00A
ollama:granite4.2:8b,agentic,agentic,real,129126,8.2,1,tool called; reported WI-E42D8334
ollama:hermes3:latest,agentic,agentic,real,5436,6.8,1,tool called; reported WI-8F519EC0
ollama:kram-core:latest,agentic,agentic,real,35597,7.6,1,tool called; reported WI-FA095EC2
ollama:kram-init:12b,agentic,agentic,real,14428,8.1,1,tool called; reported WI-1C95C7E3
ollama:kram-init:e4b,agentic,agentic,real,9036,3.2,1,tool called; reported WI-ADB78238
ollama:kram-init:g42-3b,agentic,agentic,real,18629,2.6,1,tool called; reported WI-7A1D6F6A
ollama:kram-init:g42-8b,agentic,agentic,real,33741,6.1,1,tool called; reported WI-0EF0A3E3
ollama:kram-init:llama32-3b,agentic,agentic,real,3745,2.7,1,tool called; did not report WI-C3D1F19E
ollama:kram-init:q3-1.7b,agentic,agentic,real,5527,1.8,1,tool called; reported WI-3F39FE6F
ollama:kram-init:q3-4b,agentic,agentic,real,26396,3.3,1,tool called; reported WI-FCB70C44
ollama:kram-init:q35-2b,agentic,agentic,real,7928,2.4,1,tool called; reported WI-569CC150
ollama:kram-init:q35-4b,agentic,agentic,real,8436,3.2,1,tool called; reported WI-0A418486
ollama:kram-init:smol2-1.7b,agentic,agentic,real,3040,2.8,1,tool called; did not report WI-C7B0F933
ollama:kram-re-specialist-v1:latest,agentic,agentic,real,11261,7.6,1,tool called; reported WI-C3576819
ollama:kram-offload-glm47-minimal:latest,agentic,agentic,real,32120,3.4,1,tool called; reported WI-65B88BEC
ollama:kram-offload-qwen36-minimal:latest,agentic,agentic,real,47692,6.1,1,tool called; reported WI-67B4520F
ollama:kram-om-drafter:latest,agentic,agentic,real,1660,,1,tool called; reported WI-BE12B098
ollama:kram-orchestrator:latest,agentic,agentic,real,4136,5.2,1,tool called; reported WI-1AD520FA
ollama:kram-qbo-stager:latest,agentic,agentic,real,4735,5.7,1,tool called; reported WI-C1B3C42B
ollama:kram-re-reviewer-v2:latest,agentic,agentic,real,18673,5.7,1,tool called; reported WI-07ADC459
ollama:kram-re-specialist:latest,agentic,agentic,real,8933,5.7,1,tool called; reported WI-8AEAD283
ollama:kram-research-0.8b:latest,agentic,agentic,real,4417,1.1,1,tool called; reported WI-F917D477
ollama:kram-tool-router-8b-ft:latest,agentic,agentic,real,11198,7.6,1,tool called; reported WI-06F942AD
ollama:lfm2.5:8b,agentic,agentic,real,7343,5.5,1,tool called; reported WI-42B8E9FA
ollama:llama3.2:1b,agentic,agentic,real,3027,2.1,1,tool called; reported WI-66C791DA
ollama:llama3.2:3b,agentic,agentic,real,3498,4.3,1,tool called; reported WI-02A1A4A9
ollama:mistral:7b-instruct,agentic,agentic,real,5479,6.8,1,tool called; reported WI-DD083EF7
ollama:ornith-1.5:35b,agentic,agentic,real,31646,9.9,1,tool called; reported WI-91D8D301
ollama:ornith-1.5:9b,agentic,agentic,real,8780,6.2,1,tool called; reported WI-5C5482CE
ollama:qwen2.5:0.5b,agentic,agentic,real,2995,0.7,1,tool called; reported WI-22E340BC
ollama:qwen2.5:7b-instruct,agentic,agentic,real,7253,5.7,1,tool called; reported WI-CAE2DB43
ollama:qwen3.5:0.8b,agentic,agentic,real,4257,1.4,1,tool called; reported WI-30640EA4
ollama:qwen3.5:2b,agentic,agentic,real,6453,2.7,1,tool called; reported WI-8694BE6E
ollama:qwen3.5:4b,agentic,agentic,real,6893,3.8,1,tool called; reported WI-9D5DC23C
ollama:qwen3.5:9b,agentic,agentic,real,10492,6.1,1,tool called; reported WI-E4AE2C13
ollama:qwen3.8:27b,agentic,agentic,real,44676,8.2,1,tool called; reported WI-5362E7D5
ollama:qwen3:1.7b,agentic,agentic,real,4168,3.4,1,tool called; reported WI-97F83702
ollama:qwen3:8b,agentic,agentic,real,9964,7.6,1,tool called; reported WI-4D3F2956
ollama:smollm2:1.7b,agentic,agentic,real,2546,2.8,1,tool called; did not report WI-D3287DC2
ollama:codeqwen:7b,code,code,abstained,70,,1,no tool template (Ollama 400: does not support tools)
ollama:deepcoder:14b,code,code,abstained,357158,10.6,1,no answer within 2048 tokens (thinking)
ollama:qwen2.5-coder:3b,code,code,abstained,3626,2.8,1,"no tool call, no value: '{""name"": ""run_python"", ""arguments"": {""code"": {""type"": ""strin'"
ollama:qwen2.5-coder:1.5b,code,code,fabricated,2801,1.7,1,no tool call: '42'
ollama:qwen2.5-coder:7b,code,code,fabricated,4727,5.7,1,no tool call: '42'
ollama:qwen2.5-coder:7b-instruct,code,code,fabricated,3520,5.7,1,no tool call: '42'
ollama:kram-asset-manager:latest,specialist,agentic,abstained,46,,1,no tool template (Ollama 400: does not support tools)
ollama:kram-creative-scripter:latest,specialist,agentic,abstained,37,,1,no tool template (Ollama 400: does not support tools)
ollama:kram-legal-expert:latest,specialist,agentic,abstained,37,,1,no tool template (Ollama 400: does not support tools)
ollama:kram-zilean:latest,specialist,agentic,abstained,4848,1.1,1,"no tool call, no value: '{""headline"":""Create work item \'probe\'"",""state"":""idle"",""curre'"
ollama:sqlcoder:latest,specialist,agentic,abstained,46,,1,no tool template (Ollama 400: does not support tools)
ollama:kram-auto-filer-json:latest,specialist,agentic,real,6008,5.7,1,tool called; reported WI-D5740390
ollama:kram-ft-filer:latest,specialist,agentic,real,4481,5.7,1,tool called; reported WI-307958AC
ollama:kram-ft-filer:v2,specialist,agentic,real,5452,5.7,1,tool called; reported WI-E3A85008
ollama:kram-ft-entity-extractor:latest,specialist,agentic,real,4512,5.7,1,tool called; reported WI-3E95715C
ollama:kram-ft-finance-matcher:latest,specialist,agentic,real,4563,5.7,1,tool called; reported WI-34F46CAB
ollama:kram-ft-tone:latest,specialist,agentic,real,4632,5.7,1,tool called; reported WI-51933CDD
ollama:kram-business-frontman:latest,specialist,agentic,real,5005,5.7,1,tool called; reported WI-28DF470F
ollama:kram-clarification-router:v2,specialist,agentic,real,18925,7.6,1,tool called; reported WI-660D1843
ollama:kram-entity-extractor-json:latest,specialist,agentic,real,5655,5.7,1,tool called; reported WI-47DC93D0
ollama:kram-finance-matcher-json:latest,specialist,agentic,real,5478,5.7,1,tool called; reported WI-94F17164
ollama:kram-ft-frontman:latest,specialist,agentic,real,4865,5.7,1,tool called; reported WI-E545EF56
ollama:kram-lease-abstractor:latest,specialist,agentic,real,11224,7.6,1,tool called; reported WI-48926466
ollama:kram-router-qwen25-7b-ft-v3:latest,specialist,agentic,real,4490,5.7,1,tool called; reported WI-7AB00904
ollama:minicpm-v4.5:8b,vision,vision,real,7200,7.5,1,read 44P9
ollama:minicpm-v4.5:latest,vision,vision,real,4815,7.5,1,read 9XJP
ollama:minicpm-v4.6:latest,vision,vision,real,5231,1.0,1,read 7K9A
ollama:qwen2.5vl:7b,vision,vision,real,8595,6.5,1,read 3JJF
